"year","mean_temp","mean_precip","site"
1980,19.1950543478261,2.3120652173913,"L30544319"
1981,19.1976630434783,4.16434782608696,"L30544319"
1982,18.6589130434783,3.99891304347826,"L30544319"
1983,18.7839130434783,3.59065217391304,"L30544319"
1984,18.2041847826087,6.05369565217391,"L30544319"
1985,18.7039673913043,4.03554347826087,"L30544319"
1986,19.4140217391304,3.3004347826087,"L30544319"
1987,19.8676086956522,3.37739130434783,"L30544319"
1988,19.5954347826087,4.67869565217391,"L30544319"
1989,18.8147282608696,5.59347826086957,"L30544319"
1990,18.6672282608696,4.42141304347826,"L30544319"
1991,20.7021739130435,1.90782608695652,"L30544319"
1992,18.1558695652174,4.2345652173913,"L30544319"
1993,20.2702717391304,2.31554347826087,"L30544319"
1994,19.7654891304348,3.45521739130435,"L30544319"
1995,19.5938043478261,2.85608695652174,"L30544319"
1996,18.374402173913,4.67608695652174,"L30544319"
1997,17.8646195652174,3.14782608695652,"L30544319"
1998,19.5265760869565,3.56510869565217,"L30544319"
1999,20.3361413043478,1.53923913043478,"L30544319"
2000,18.4079347826087,4.60576086956522,"L30544319"
2001,18.676902173913,4.03673913043478,"L30544319"
2002,19.0876630434783,2.89445652173913,"L30544319"
2003,18.0476630434783,5.36913043478261,"L30544319"
2004,19.3677717391304,4.64195652173913,"L30544319"
2005,19.5895652173913,2.36586956521739,"L30544319"
2006,19.6632608695652,5.31815217391304,"L30544319"
2007,19.5633695652174,2.85695652173913,"L30544319"
2008,18.8374456521739,2.84489130434783,"L30544319"
2009,18.1857065217391,5.95130434782609,"L30544319"
2010,20.6403260869565,3.22586956521739,"L30544319"
2011,20.42625,4.54717391304348,"L30544319"
2012,20.2328804347826,4.47913043478261,"L30544319"
2013,19.7446739130435,4.7595652173913,"L30544319"
2014,19.1170652173913,3.85304347826087,"L30544319"
2015,20.0798913043478,4.43619565217391,"L30544319"
2016,19.4007608695652,3.98597826086957,"L30544319"
2017,18.8679891304348,4.84804347826087,"L30544319"
2018,20.1310869565217,5.99847826086957,"L30544319"
2019,19.7989673913043,5.71271739130435,"L30544319"
2020,19.5401630434783,3.81652173913043,"L30544319"
2021,19.1397826086957,4.29282608695652,"L30544319"
2022,19.6296739130435,4.28173913043478,"L30544319"
2023,18.4402173913043,4.465,"L30544319"
2024,20.5425543478261,3.16576086956522,"L30544319"
1980,19.1950543478261,2.3120652173913,"L30544346"
1981,19.1976630434783,4.16434782608696,"L30544346"
1982,18.6589130434783,3.99891304347826,"L30544346"
1983,18.7839130434783,3.59065217391304,"L30544346"
1984,18.2041847826087,6.05369565217391,"L30544346"
1985,18.7039673913043,4.03554347826087,"L30544346"
1986,19.4140217391304,3.3004347826087,"L30544346"
1987,19.8676086956522,3.37739130434783,"L30544346"
1988,19.5954347826087,4.67869565217391,"L30544346"
1989,18.8147282608696,5.59347826086957,"L30544346"
1990,18.6672282608696,4.42141304347826,"L30544346"
1991,20.7021739130435,1.90782608695652,"L30544346"
1992,18.1558695652174,4.2345652173913,"L30544346"
1993,20.2702717391304,2.31554347826087,"L30544346"
1994,19.7654891304348,3.45521739130435,"L30544346"
1995,19.5938043478261,2.85608695652174,"L30544346"
1996,18.374402173913,4.67608695652174,"L30544346"
1997,17.8646195652174,3.14782608695652,"L30544346"
1998,19.5265760869565,3.56510869565217,"L30544346"
1999,20.3361413043478,1.53923913043478,"L30544346"
2000,18.4079347826087,4.60576086956522,"L30544346"
2001,18.676902173913,4.03673913043478,"L30544346"
2002,19.0876630434783,2.89445652173913,"L30544346"
2003,18.0476630434783,5.36913043478261,"L30544346"
2004,19.3677717391304,4.64195652173913,"L30544346"
2005,19.5895652173913,2.36586956521739,"L30544346"
2006,19.6632608695652,5.31815217391304,"L30544346"
2007,19.5633695652174,2.85695652173913,"L30544346"
2008,18.8374456521739,2.84489130434783,"L30544346"
2009,18.1857065217391,5.95130434782609,"L30544346"
2010,20.6403260869565,3.22586956521739,"L30544346"
2011,20.42625,4.54717391304348,"L30544346"
2012,20.2328804347826,4.47913043478261,"L30544346"
2013,19.7446739130435,4.7595652173913,"L30544346"
2014,19.1170652173913,3.85304347826087,"L30544346"
2015,20.0798913043478,4.43619565217391,"L30544346"
2016,19.4007608695652,3.98597826086957,"L30544346"
2017,18.8679891304348,4.84804347826087,"L30544346"
2018,20.1310869565217,5.99847826086957,"L30544346"
2019,19.7989673913043,5.71271739130435,"L30544346"
2020,19.5401630434783,3.81652173913043,"L30544346"
