"Location.ID","Latitude","Longitude"
"L268182",32.1479988,-80.4559021
"L269267",32.1584015,-80.4525986
"L523550",39.64,-71.895
"L268168",32.1479988,-80.4617996
"L268167",32.1478004,-80.4634018
"L268171",32.1473007,-80.4573975
"L268165",32.1467018,-80.4627991
"L268170",32.1475983,-80.4573975
"L571386",40.55485,-73.28347
"L571379",40.5597,-73.28874
"L571383",40.5576,-73.2883
"L571385",40.555,-73.28343
"L571392",40.55443,-73.28253
"L269238",32.1473999,-80.4554977
"L268173",32.1477013,-80.4564972
"L268163",32.1459999,-80.4655991
"L571387",40.5546,-73.28333
"L344533",32.1590004,-80.3454971
"L269263",32.155899,-80.4554977
"L269271",32.1604004,-80.4817963
"L717762",41.20608,-71.50067
"L268174",32.148201,-80.4561996
"L779369",33.1375512,-74.53125
"L717763",41.20586,-71.50076
"L269245",32.1554985,-80.4590988
"L269241",32.1514015,-80.4555969
"L1119401",34.5970415,-74.8828125
"L715678",41.20651,-71.50051
"L1037322",34.4522185,-77.34375
"L1467420",34.6472605,-74.7290039
"L3516023",34.7508758,-76.7412468
"L717761",41.2063,-71.50059
"L268172",32.1473999,-80.4570999
"L269242",32.1515999,-80.4554977
"L268176",32.148201,-80.4562988
"L942942",30.01535,-81.20624
"L942948",30.01735,-81.20635
"L942958",30.02034,-81.20631
"L571391",40.55388,-73.28322
"L571393",40.55443,-73.28232
"L571394",40.55431,-73.28201
"L571396",40.55421,-73.28189
"L571388",40.55425,-73.28335
"L571376",40.55682,-73.28612
"L10414456",38.88713,-76.197842
"L7700048",37.9592,-75.7183
"L7756403",37.96222,-75.741666
"L4847655",37.95138,-75.6925
"L7671394",37.947222,-75.735
"L7700184",37.958333,-75.698611
"L7658918",37.95,-75.70388
"L7661374",37.95833,-75.698611
"L7662000",37.943333,-75.688055
"L779368",33.5780147,-75.4101563
"L726375",32.2499745,-79.9804688
"L810618",32.7965101,-79.9145508
"L864740",32.7318409,-79.8046875
"L1229370",29.3821751,-85.2539063
"L949508",39.2322531,-71.71875
"L932788",33.8704156,-78.046875
"L942974",30.02475,-81.20682
"L909835",32.2499745,-79.8046875
"L1175267",34.6347616,-74.7317505
"L268182",32.1479988,-80.4559021
"L269267",32.1584015,-80.4525986
"L268168",32.1479988,-80.4617996
"L268171",32.1473007,-80.4573975
"L268165",32.1467018,-80.4627991
"L268170",32.1475983,-80.4573975
"L571386",40.55485,-73.28347
"L571383",40.5576,-73.2883
"L571385",40.555,-73.28343
"L571392",40.55443,-73.28253
"L269238",32.1473999,-80.4554977
"L268163",32.1459999,-80.4655991
"L571387",40.5546,-73.28333
"L344533",32.1590004,-80.3454971
"L268167",32.1478004,-80.4634018
"L269271",32.1604004,-80.4817963
"L717762",41.20608,-71.50067
"L717763",41.20586,-71.50076
"L269245",32.1554985,-80.4590988
"L269241",32.1514015,-80.4555969
"L1119401",34.5970415,-74.8828125
"L2161841",37.064535,-76.289536
"L2134242",37.53808,-77.554941
"L268172",32.1473999,-80.4570999
"L268173",32.1477013,-80.4564972
"L268174",32.148201,-80.4561996
"L269242",32.1515999,-80.4554977
"L269263",32.155899,-80.4554977
"L268176",32.148201,-80.4562988
"L571391",40.55388,-73.28322
"L571393",40.55443,-73.28232
"L571394",40.55431,-73.28201
"L571396",40.55421,-73.28189
"L571388",40.55425,-73.28335
"L571376",40.55682,-73.28612
"L7756403",37.96222,-75.741666
"L14340704",37.467598,-77.8157043
"L4847655",37.95138,-75.6925
"L7700048",37.9592,-75.7183
"L7671394",37.947222,-75.735
"L7700184",37.958333,-75.698611
"L7658918",37.95,-75.70388
"L7661374",37.95833,-75.698611
"L7662000",37.943333,-75.688055
"L715678",41.20651,-71.50051
"L779368",33.5780147,-75.4101563
"L726375",32.2499745,-79.9804688
"L810618",32.7965101,-79.9145508
"L864740",32.7318409,-79.8046875
"L1037322",34.4522185,-77.34375
"L1229370",29.3821751,-85.2539063
"L949508",39.2322531,-71.71875
"L33007254",36.714747,-76.631116
"L33912897",36.696634,-76.245146
"L43335543",36.647922,-76.201928
"L41041915",36.647924,-76.201911
"L41042491",36.646643,-76.20291
"L41397499",37.07838,-76.506416
"L31136001",37.315699,-77.438262
"L44161502",37.405432,-76.556713
"L48987247",37.232406,-77.365531
"L41568244",36.694553,-76.22256
"L29122536",37.17967,-76.537455
"L42960761",36.646913,-76.202609
"L46245972",36.64815,-76.201968
"L43212435",37.765901,-77.566621
"L48830392",36.778209,-76.590942
"L41042664",36.648675,-76.202901
"L42220498",36.736471,-76.284652
"L43172641",36.778153,-76.591027
"L44158190",37.405449,-76.556453
"L42522295",36.647989,-76.202137
"L45600944",37.078391,-76.506432
"L24624006",37.113071,-76.438316
"L43359354",36.991966,-76.603716
"L41814431",36.991905,-76.603844
"L45502018",37.139006,-76.450751
"L45502157",37.138911,-76.450756
"L43012987",37.542307,-77.518846
"L41193334",37.1132,-76.437979
"L45556005",37.418232,-77.525977
"L45712247",36.648132,-76.201969
"L49110186",36.934383,-76.266194
"L46546368",36.648947,-76.205292
"L44987602",37.112998,-76.438206
"L45808811",36.714742,-76.631078
"L45712613",36.64812,-76.201959
"L52882123",41.1733,-72.3643
"L42765930",37.512726,-77.467773
"L29123938",37.179582,-76.52783
"L29124513",37.182064,-76.525127
"L52884991",41.173,-72.3648
"L18734338",37.091865,-76.426595
"L18734482",37.092678,-76.428134
"L19174820",37.093745,-76.43371
"L52882466",41.1734,-72.3645
"L52885595",41.173,-72.3615
"L52885925",41.173,-72.3651
"L52908557",41.173,-72.3654
"L52909188",41.1729,-72.3653
"L52883174",41.1731,-72.3647
"L52882789",41.1732,-72.3645
"L52909785",41.1729,-72.3652
"L52910940",41.1727,-72.3647
"L52910147",41.1728,-72.3652
