"year","mean_temp","mean_precip","site"
1980,26.0870652173913,4.32358695652174,"L12566332"
1981,26.1317934782609,5.14130434782609,"L12566332"
1982,26.8772826086957,2.49967391304348,"L12566332"
1983,26.1875543478261,3.86532608695652,"L12566332"
1984,25.5511956521739,2.22282608695652,"L12566332"
1985,25.8924456521739,3.78967391304348,"L12566332"
1986,27.9859782608696,4.11358695652174,"L12566332"
1987,28.9200543478261,3.99434782608696,"L12566332"
1988,26.9816847826087,2.82836956521739,"L12566332"
1989,26.0844565217391,5.17684782608696,"L12566332"
1990,25.8371739130435,6.52086956521739,"L12566332"
1991,30.5845652173913,1.98989130434783,"L12566332"
1992,25.0478804347826,5.19445652173913,"L12566332"
1993,27.3992391304348,4.07271739130435,"L12566332"
1994,26.5377173913043,2.80760869565217,"L12566332"
1995,27.2435869565217,5.8629347826087,"L12566332"
1996,26.3245652173913,4.66445652173913,"L12566332"
1997,25.1372826086957,4.52847826086956,"L12566332"
1998,28.5298369565217,3.58619565217391,"L12566332"
1999,29.3979891304348,2.08445652173913,"L12566332"
2000,27.5071739130435,3.43891304347826,"L12566332"
2001,27.3778260869565,3.63695652173913,"L12566332"
2002,27.6361413043478,3.42108695652174,"L12566332"
2003,25.9086956521739,4.35717391304348,"L12566332"
2004,27.7730434782609,5.14815217391304,"L12566332"
2005,27.3696739130435,2.64902173913043,"L12566332"
2006,27.035652173913,4.36663043478261,"L12566332"
2007,27.4804891304348,2.18652173913043,"L12566332"
2008,26.6627173913043,4.38771739130435,"L12566332"
2009,26.4195652173913,3.2920652173913,"L12566332"
2010,29.6064130434783,4.61478260869565,"L12566332"
2011,29.7860869565217,4.99989130434783,"L12566332"
2012,30.5082065217391,2.56565217391304,"L12566332"
2013,28.5040760869565,3.66489130434783,"L12566332"
2014,27.2959782608696,5.00891304347826,"L12566332"
2015,28.5804891304348,4.01869565217391,"L12566332"
2016,28.1209239130435,3.51141304347826,"L12566332"
2017,27.5200543478261,3.96695652173913,"L12566332"
2018,30.4792934782609,3.96032608695652,"L12566332"
2019,29.121847826087,3.77315217391304,"L12566332"
2020,28.053097826087,4.08347826086957,"L12566332"
2021,27.8191304347826,3.36282608695652,"L12566332"
2022,29.1522826086957,4.36532608695652,"L12566332"
2023,26.6715760869565,3.36065217391304,"L12566332"
1980,25.8245652173913,4.3354347826087,"L2808796"
1981,25.9754891304348,5.04260869565217,"L2808796"
1982,26.8289130434783,2.81173913043478,"L2808796"
1983,25.9725543478261,4.07315217391304,"L2808796"
1984,25.3495652173913,2.7475,"L2808796"
1985,25.6317934782609,3.86369565217391,"L2808796"
1986,27.7066304347826,3.2104347826087,"L2808796"
1987,28.5932608695652,3.255,"L2808796"
1988,26.3324456521739,2.62630434782609,"L2808796"
1989,25.7661413043478,4.07532608695652,"L2808796"
1990,25.3157608695652,6.23315217391304,"L2808796"
1991,30.0696195652174,1.30739130434783,"L2808796"
1992,24.5872282608696,4.42108695652174,"L2808796"
1993,26.5475543478261,3.37239130434783,"L2808796"
1994,25.4647282608696,2.32608695652174,"L2808796"
1995,26.5436413043478,4.28967391304348,"L2808796"
1996,25.6380434782609,4.73315217391304,"L2808796"
1997,24.2869565217391,5.04913043478261,"L2808796"
1998,27.6467391304348,3.9670652173913,"L2808796"
1999,28.0165760869565,1.57282608695652,"L2808796"
2000,26.373097826087,3.19782608695652,"L2808796"
2001,26.0511413043478,3.56304347826087,"L2808796"
2002,26.6433695652174,4.05739130434783,"L2808796"
2003,25.2616847826087,4.11521739130435,"L2808796"
2004,26.9709239130435,4.65826086956522,"L2808796"
2005,26.3652717391304,2.65663043478261,"L2808796"
2006,25.9517391304348,3.50989130434783,"L2808796"
2007,26.5502173913043,2.30532608695652,"L2808796"
2008,25.7947282608696,4.72663043478261,"L2808796"
2009,25.6666847826087,3.05739130434783,"L2808796"
2010,28.843097826087,3.68695652173913,"L2808796"
2011,28.7650543478261,4.22771739130435,"L2808796"
2012,29.5260326086957,1.8845652173913,"L2808796"
2013,27.8733152173913,4.50326086956522,"L2808796"
2014,26.740597826087,5.06445652173913,"L2808796"
2015,27.995,4.115,"L2808796"
2016,27.454347826087,2.4575,"L2808796"
2017,26.7240760869565,4.845,"L2808796"
2018,29.7701086956522,3.88565217391304,"L2808796"
2019,28.4591304347826,5.30097826086957,"L2808796"
2020,27.0861956521739,3.3320652173913,"L2808796"
2021,26.5591847826087,3.42,"L2808796"
2022,28.250652173913,5.50945652173913,"L2808796"
2023,25.7471195652174,2.80586956521739,"L2808796"
1980,28.0015760869565,3.12673913043478,"L5899011"
1981,28.2225543478261,3.87391304347826,"L5899011"
1982,28.1707065217391,3.63413043478261,"L5899011"
1983,27.5136956521739,3.55934782608696,"L5899011"
1984,27.1454347826087,5.63608695652174,"L5899011"
1985,27.7035869565217,4.23184782608696,"L5899011"
1986,29.3947282608696,2.1129347826087,"L5899011"
1987,29.8616847826087,2.94086956521739,"L5899011"
1988,28.7779347826087,3.69423913043478,"L5899011"
1989,28.5716304347826,7.18173913043478,"L5899011"
1990,28.1785869565217,4.87304347826087,"L5899011"
1991,30.3815760869565,2.94989130434783,"L5899011"
1992,26.2629891304348,3.07945652173913,"L5899011"
1993,29.2896195652174,2.46576086956522,"L5899011"
1994,29.1413586956522,4.61282608695652,"L5899011"
1995,28.6210869565217,2.83847826086957,"L5899011"
1996,27.2549456521739,5.04815217391304,"L5899011"
1997,26.5723913043478,2.22978260869565,"L5899011"
1998,29.0439673913043,3.18804347826087,"L5899011"
1999,29.2303260869565,1.985,"L5899011"
2000,27.7445652173913,3.96445652173913,"L5899011"
2001,27.8957608695652,3.16369565217391,"L5899011"
2002,28.5617391304348,2.7770652173913,"L5899011"
2003,26.7875543478261,5.11728260869565,"L5899011"
2004,29.4297282608696,6.49565217391304,"L5899011"
2005,28.1804891304348,2.78608695652174,"L5899011"
2006,28.5975543478261,5.16108695652174,"L5899011"
2007,28.2816847826087,2.70152173913043,"L5899011"
2008,27.6057065217391,3.85391304347826,"L5899011"
2009,27.0208152173913,4.43663043478261,"L5899011"
2010,30.7198913043478,3.24880434782609,"L5899011"
2011,30.6070652173913,2.77402173913043,"L5899011"
2012,29.7986956521739,2.78521739130435,"L5899011"
2013,29.2620652173913,6.26760869565217,"L5899011"
2014,28.1984239130435,3.60347826086957,"L5899011"
2015,29.8834782608696,4.77152173913043,"L5899011"
2016,28.2066847826087,4.60565217391304,"L5899011"
2017,28.1567934782609,4.74010869565217,"L5899011"
2018,29.3161413043478,4.70891304347826,"L5899011"
2019,29.7770652173913,5.09923913043478,"L5899011"
2020,28.3409239130435,3.3054347826087,"L5899011"
2021,28.3702173913043,3.02402173913043,"L5899011"
2022,29.298152173913,3.6679347826087,"L5899011"
2023,27.1225,4.21423913043478,"L5899011"
1980,28.2455434782609,2.6375,"L20720757"
1981,26.9769565217391,4.48641304347826,"L20720757"
1982,28.1952717391304,5.02739130434783,"L20720757"
1983,28.034347826087,2.84108695652174,"L20720757"
1984,26.4725,2.67608695652174,"L20720757"
1985,27.0738586956522,2.02619565217391,"L20720757"
1986,28.4727717391304,4.18880434782609,"L20720757"
1987,30.2084239130435,2.92467391304348,"L20720757"
1988,28.4920652173913,1.03304347826087,"L20720757"
1989,26.7540217391304,2.49673913043478,"L20720757"
1990,26.3325543478261,5.6925,"L20720757"
1991,30.8688586956522,2.50836956521739,"L20720757"
1992,24.878097826087,3.23978260869565,"L20720757"
1993,27.6788586956522,4.57695652173913,"L20720757"
1994,26.9086413043478,2.3429347826087,"L20720757"
1995,28.0154347826087,3.40097826086957,"L20720757"
1996,25.3845108695652,4.85576086956522,"L20720757"
1997,25.2959239130435,1.65173913043478,"L20720757"
1998,28.9567934782609,4.54532608695652,"L20720757"
1999,29.520597826087,3.03119565217391,"L20720757"
2000,27.3241304347826,4.23434782608696,"L20720757"
2001,27.8745108695652,3.5345652173913,"L20720757"
2002,27.3566304347826,2.78260869565217,"L20720757"
2003,25.5702717391304,3.62836956521739,"L20720757"
2004,26.9859782608696,2.94782608695652,"L20720757"
2005,28.0805434782609,1.65913043478261,"L20720757"
2006,27.8598913043478,2.4845652173913,"L20720757"
2007,28.4613586956522,3.14413043478261,"L20720757"
2008,26.0577717391304,3.97423913043478,"L20720757"
2009,26.113152173913,4.05597826086957,"L20720757"
2010,29.3698913043478,4.58782608695652,"L20720757"
2011,29.2652173913043,3.82858695652174,"L20720757"
2012,30.636902173913,2.31358695652174,"L20720757"
2013,27.5298913043478,3.28413043478261,"L20720757"
2014,26.8764673913043,3.8825,"L20720757"
2015,27.6734239130435,5.60869565217391,"L20720757"
2016,28.09125,4.40663043478261,"L20720757"
2017,27.0353260869565,3.18923913043478,"L20720757"
2018,29.9933152173913,3.475,"L20720757"
2019,27.7864130434783,5.16521739130435,"L20720757"
2020,28.3034782608696,4.06586956521739,"L20720757"
2021,28.0658152173913,3.8104347826087,"L20720757"
2022,28.5141304347826,2.7954347826087,"L20720757"
2023,27.0584782608696,2.91565217391304,"L20720757"
1980,25.5784782608696,4.49826086956522,"L4982333"
1981,25.7842391304348,5.14891304347826,"L4982333"
1982,26.6336956521739,2.89489130434783,"L4982333"
1983,25.8076630434783,4.10880434782609,"L4982333"
1984,25.1617934782609,2.86804347826087,"L4982333"
1985,25.4332065217391,3.92130434782609,"L4982333"
1986,27.4684239130435,3.23228260869565,"L4982333"
1987,28.3854347826087,3.28217391304348,"L4982333"
1988,26.1728804347826,2.71445652173913,"L4982333"
1989,25.5367391304348,4.14423913043478,"L4982333"
1990,25.0417391304348,6.20097826086957,"L4982333"
1991,29.7832065217391,1.32923913043478,"L4982333"
1992,24.2891847826087,4.50315217391304,"L4982333"
1993,26.2133152173913,3.37032608695652,"L4982333"
1994,25.1514130434783,2.39358695652174,"L4982333"
1995,26.1714130434783,4.38880434782609,"L4982333"
1996,25.3222826086957,4.82510869565217,"L4982333"
1997,23.9809782608696,5.05782608695652,"L4982333"
1998,27.3152173913043,4.0554347826087,"L4982333"
1999,27.6970108695652,1.63021739130435,"L4982333"
2000,26.0936413043478,3.32836956521739,"L4982333"
2001,25.7209239130435,3.64130434782609,"L4982333"
2002,26.3889130434783,4.11467391304348,"L4982333"
2003,24.9940217391304,4.25119565217391,"L4982333"
2004,26.6791847826087,4.75152173913043,"L4982333"
2005,26.0754891304348,2.74163043478261,"L4982333"
2006,25.7557608695652,3.66358695652174,"L4982333"
2007,26.3949456521739,2.39445652173913,"L4982333"
2008,25.7332065217391,4.96076086956522,"L4982333"
2009,25.5545108695652,3.1154347826087,"L4982333"
2010,28.6796195652174,3.80760869565217,"L4982333"
2011,28.6245652173913,4.25217391304348,"L4982333"
2012,29.4085326086957,2.03402173913043,"L4982333"
2013,27.6603260869565,4.62652173913043,"L4982333"
2014,26.505597826087,4.86184782608696,"L4982333"
2015,27.8001630434783,4.20608695652174,"L4982333"
2016,27.29,2.41934782608696,"L4982333"
2017,26.5246195652174,4.99695652173913,"L4982333"
2018,29.4751630434783,4.05076086956522,"L4982333"
2019,28.1384782608696,5.40021739130435,"L4982333"
2020,26.8189673913043,3.36891304347826,"L4982333"
2021,26.298097826087,3.56,"L4982333"
2022,27.9771195652174,5.45434782608696,"L4982333"
2023,25.5135326086957,2.80684782608696,"L4982333"
1980,28.2455434782609,2.6375,"L20720741"
1981,26.9769565217391,4.48641304347826,"L20720741"
1982,28.1952717391304,5.02739130434783,"L20720741"
1983,28.034347826087,2.84108695652174,"L20720741"
1984,26.4725,2.67608695652174,"L20720741"
1985,27.0738586956522,2.02619565217391,"L20720741"
1986,28.4727717391304,4.18880434782609,"L20720741"
1987,30.2084239130435,2.92467391304348,"L20720741"
1988,28.4920652173913,1.03304347826087,"L20720741"
1989,26.7540217391304,2.49673913043478,"L20720741"
1990,26.3325543478261,5.6925,"L20720741"
1991,30.8688586956522,2.50836956521739,"L20720741"
1992,24.878097826087,3.23978260869565,"L20720741"
1993,27.6788586956522,4.57695652173913,"L20720741"
1994,26.9086413043478,2.3429347826087,"L20720741"
1995,28.0154347826087,3.40097826086957,"L20720741"
1996,25.3845108695652,4.85576086956522,"L20720741"
1997,25.2959239130435,1.65173913043478,"L20720741"
1998,28.9567934782609,4.54532608695652,"L20720741"
1999,29.520597826087,3.03119565217391,"L20720741"
