"year","mean_temp","mean_precip","site"
1980,23.5008695652174,3.2575,"L420201"
1981,21.9060326086957,5.61978260869565,"L420201"
1982,21.800652173913,5.31771739130435,"L420201"
1983,21.1646739130435,3.59271739130435,"L420201"
1984,21.8817391304348,3.18097826086957,"L420201"
1985,22.3170652173913,2.80336956521739,"L420201"
1986,23.526847826087,3.7404347826087,"L420201"
1987,23.2126086956522,3.65260869565217,"L420201"
1988,22.5447826086957,2.05380434782609,"L420201"
1989,21.158097826087,5.28804347826087,"L420201"
1990,22.1377717391304,5.49369565217391,"L420201"
1991,23.8753260869565,2.58913043478261,"L420201"
1992,21.1834239130435,5.65989130434783,"L420201"
1993,22.4995652173913,4.53054347826087,"L420201"
1994,22.0129347826087,3.42880434782609,"L420201"
1995,21.5834782608696,5.49565217391304,"L420201"
1996,22.2359782608696,3.52858695652174,"L420201"
1997,21.3933695652174,3.25945652173913,"L420201"
1998,24.4852173913043,2.86673913043478,"L420201"
1999,22.1966847826087,5.46,"L420201"
2000,21.9888586956522,7.12,"L420201"
2001,22.8134239130435,3.48119565217391,"L420201"
2002,21.9317934782609,3.49228260869565,"L420201"
2003,21.7463043478261,4.42782608695652,"L420201"
2004,21.6404347826087,5.36826086956522,"L420201"
2005,22.3688043478261,2.65358695652174,"L420201"
2006,22.9484239130435,3.22532608695652,"L420201"
2007,22.3313043478261,4.14228260869565,"L420201"
2008,22.0961956521739,4.46771739130435,"L420201"
2009,22.175,4.40923913043478,"L420201"
2010,23.8314673913043,5.13815217391304,"L420201"
2011,24.3692934782609,3.87967391304348,"L420201"
2012,24.8929347826087,1.5995652173913,"L420201"
2013,21.9799456521739,3.675,"L420201"
2014,21.4024456521739,3.45358695652174,"L420201"
2015,22.9222282608696,8.67021739130435,"L420201"
2016,22.5510869565217,5.71467391304348,"L420201"
2017,22.0889673913043,4.79239130434783,"L420201"
2018,24.5704891304348,3.88282608695652,"L420201"
2019,22.0760869565217,6.13478260869565,"L420201"
2020,22.2988586956522,4.43402173913043,"L420201"
2021,21.8892391304348,5.63913043478261,"L420201"
2022,24.1436956521739,4.22858695652174,"L420201"
2023,23.0857608695652,3.74195652173913,"L420201"
1980,18.7357608695652,3.39836956521739,"L2402266"
