"","Species.Name","model","model_desc","intercept","pre_emergence","pe_sd","pe_p","asynchrony","async_sd","async_p","y_anomaly_temp","yat_sd","yat_p","y_anomaly_precip","yap_sd","yap_p","async_interction","async_int_sd","async_int_p","n_noncicada","n_cicada"
"1","Eastern Bluebird","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",1.50690453531672,0.0988432943482288,0.0934494371515147,0.29018333065192,-0.0385935307937466,0.0919185554634238,0.674582913002654,-0.00114547149415752,0.0424847788293719,0.978490101047428,-0.00140322957795646,0.0297567118693437,0.962388304196076,0.118772577179664,0.127469155107084,0.351452796150734,5662,4635
"2","Tree Swallow","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",1.70237701413257,-0.306490762629629,0.0823579128279756,0.000198082967255729,-0.495646628135047,0.141980969652924,0.000481329638090761,-0.0432850486342052,0.0676595572283349,0.522336614882208,-0.0456300160387133,0.0423816255226714,0.281638356317268,0.274269839685582,0.183467759663157,0.134935014071957,3312,2618
"3","Northern House Wren","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",1.69749019958776,0.0217230325901297,0.205722724300912,0.915904688930963,-0.0431597634585611,0.189044940075659,0.819409719964696,-0.227911986410409,0.11750436813063,0.0524277888762613,0.176836472853358,0.0820017076545161,0.0310448432461414,-0.0306015985964602,0.260853671976603,0.906611805615917,1050,966
"4","Black-capped and
 Carolina Chickadee","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",1.00158346731799,-0.201743861481649,0.231299232377053,0.383088264610282,0.304486891365907,0.381978148838647,0.425374547239046,-0.00024709636625087,0.126790945267771,0.998445044711618,0.00740665518902098,0.104517828950574,0.943505205054157,0.216067399592983,0.519736244202693,0.677611175710052,359,343
"5","Purple Martin","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",0.546322408228421,1.2243176899234,1.4007986951516,0.382110622114682,0.647652772333503,1.24816976419532,0.603843059376182,0.940609843376849,0.251527285791618,0.000184317962902554,-0.246235291259505,0.22742328713258,0.278933602853609,-0.100169764346753,1.67924428663646,0.952433046724598,172,174
"6","Carolina Wren","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",0.790103690868216,1.11833320513988,0.579988709512889,0.053830473850022,0.710026956465233,0.435523227873136,0.103041290425409,-0.0927772924967954,0.215222453156464,0.666412913830288,0.312275039176092,0.178090991001142,0.0795234552618472,-1.35558595879265,0.73164675131061,0.0639128218785678,123,155
"7","American Robin","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",0.250065442694837,0.668288753569282,0.403395954843458,0.097588830592985,0.210152912609793,0.471592757929343,0.655869083500848,-0.0192990717978624,0.230081025781712,0.933152271930685,0.181683470002368,0.160888507336737,0.25879206407771,0.00304887152475548,0.706566692885574,0.996557097875108,112,124
"8","House Sparrow","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",1.20287585333885,-2.22872682709939,0.677792762841196,0.00100825603726437,0.269798320316354,0.770403305647822,0.72618560401611,-0.235385997257977,0.414039490272835,0.569688050743323,1.07546798068097,0.273760104088985,0.0000854755181682277,-1.00515011198095,1.0009600828868,0.315288963995459,126,47
"9","Prothonotary Warbler","pre_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",0.517537168360648,1.52419689275671,0.967594715713393,0.115200343822634,-0.426585510868918,0.938366406105655,0.649393858117054,-0.30703242302817,0.529181785781749,0.561778287148359,0.980859658008274,0.452993943816487,0.0303660916856249,-0.22693601158468,1.35752191713832,0.867236826220221,45,29
