"","Species.Name","model","model_desc","intercept","post_emergence","pe_sd","pe_p","asynchrony","async_sd","async_p","y_anomaly_temp","yat_sd","yat_p","y_anomaly_precip","yap_sd","yap_p","async_interction","async_int_sd","async_int_p","n_noncicada","n_cicada"
"1","Eastern Bluebird","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",1.57757384787387,-0.173983742200381,0.0884530541397313,0.0491876623098169,0.0783778184024548,0.0883874784718817,0.37521216065482,0.0534792723124036,0.0471601269037942,0.256797319524293,0.0291037573394785,0.0270348110608419,0.28169075121752,-0.163971956143794,0.122680253654999,0.181359817002275,5662,4790
"2","Tree Swallow","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",1.38715990152701,0.3790757107852,0.0798220336603006,0.00000204413890000435,-0.222475841364354,0.116119560596474,0.0553752214292249,-0.0145706894342108,0.0610519564635822,0.811368861113416,-0.0367582093194699,0.0401246581839009,0.359614317661456,-0.54402310319956,0.168429772940481,0.00123803235017753,3312,3035
"3","Northern House Wren","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",1.69038869645425,0.0343156059152154,0.205852747660588,0.867606285652777,-0.0755794725153993,0.179664054134148,0.673995278510168,-0.109442846286136,0.130275046168743,0.400857570422702,0.150573450506726,0.0806918487633727,0.0620370990907603,-0.258135199185214,0.261689596425277,0.32392827782662,1050,983
"4","Black-capped and
 Carolina Chickadee","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",0.81473418237784,0.0632584090351162,0.223916767880514,0.777553565437957,0.526284539061386,0.356250588327978,0.139598588729305,0.0718465063310338,0.144280055326154,0.618508278841138,-0.176325357365339,0.100807412288605,0.0802683991913516,0.89487769307914,0.613316357517484,0.144543062327504,359,309
"5","Purple Martin","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",2.65189794749744,0.0469792013984352,1.01805571064747,0.963193880322874,0.228655452329091,1.06195117901886,0.829520682684576,-0.297386734241122,0.294153539283465,0.31202048776444,-0.515467207029333,0.206356563904057,0.012491581193936,-1.59714820853781,1.29324763455564,0.21683413597957,172,203
"6","Carolina Wren","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",2.09962273225079,-1.19052190759357,0.624280052672511,0.0565164707164877,-0.644601254711452,0.584616201349532,0.270198360429045,-0.407193174834979,0.266833046781405,0.127004315530032,0.208874420371706,0.153373538032546,0.173239738305601,0.883376909738489,0.767884204616088,0.249977594263069,123,120
"7","American Robin","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",0.922363001740842,-0.150685042512117,0.414633411090768,0.716293022314685,0.216365255885431,0.527756848139437,0.681826869207719,-0.0324307938370157,0.246140133857096,0.895176151205953,0.181025063487821,0.153215339692432,0.237401200339829,-0.415452619790774,0.70912475801107,0.557965060676323,112,111
"8","House Sparrow","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",-1.67942479884088,0.378500771018495,0.597984356522324,0.526759117132309,-0.692478622966547,0.59382206024097,0.243558550614788,0.710863750984277,0.368324513027909,0.0536076986645239,0.38834709444058,0.232682460954709,0.0951173226550312,1.92000876308314,0.826055535041038,0.0201089097197523,126,73
"9","Prothonotary Warbler","post_emergence * asynchrony + y_anomaly_temp + y_anomaly_precip","binomial",2.44872241769784,-1.27267313843716,0.866880553292868,0.142075245052431,-0.659033522047815,0.91930267989193,0.473445581485688,-1.0045446865284,0.839462136585472,0.231441925168728,0.311502744883139,0.428591968460227,0.467345477945154,1.1088243527363,1.27300885378499,0.383739724068507,45,34
